Species,Spp Code,Threat,Stress,Sensitivity,Literature Quote,Citation
American Redstart (Setophaga ruticilla),amered,3.1.1 Onshore oil and gas development,1.2 Ecosystem degradation,Negative impact (Literature),Table 2 or Table 3 negative impact from seismic,"""Leston L et al. 2022, April 18. Comparing alternative methods of modelling cumulative effects of oil and gas footprint on boreal bird abundance. Available from https://www.researchsquare.com/article/rs-1550900/v1 (accessed July 18, 2024)."""
American Redstart (Setophaga ruticilla),amered,3.1.2 Onshore oil and gas production,1.2 Ecosystem degradation,Negative impact (Literature),"Table 2 or Table 3 negative impact from pipeline, well, road, or facility","""Leston L et al. 2022, April 18. Comparing alternative methods of modelling cumulative effects of oil and gas footprint on boreal bird abundance. Available from https://www.researchsquare.com/article/rs-1550900/v1 (accessed July 18, 2024)."""
American Redstart (Setophaga ruticilla),amered,3.1.2 Onshore oil and gas production,1.2 Ecosystem degradation,Positive impact (Literature),"Table 1. Positive estimates indicate greater abundances with increasing distance from shale gas. Significant responses are in bold (? = 0.05) ...it is important to note we observed considerable variation in species-specific responses, with some forest interior gap specialists (i.e. American Redstart, Cerulean Warbler, and Eastern Wood-Pewee) showing an attraction to shale gas.","""Farwell LS, Wood PB, Brown DJ, Sheehan J. 2019. Proximity to unconventional shale gas infrastructure alters breeding bird abundance and distribution. The Condor 121:1–20. American Ornithological Society."""
American Redstart (Setophaga ruticilla),amered,3.3.1 Onshore wind turbine installations,2.1 Species mortality,Negative impact (Literature),Appendix S1,"""Choi DY, Wittig TW, Kluever BM. 2020. An evaluation of bird and bat mortality at wind turbines in the Northeastern United States. PLOS ONE 15:e0238034. Available from https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0238034 (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,4.1.1 Roadways,1.2 Ecosystem degradation,Negative impact (Literature),Table 2 or Table 3 negative impact from road,"""Leston L et al. 2022, April 18. Comparing alternative methods of modelling cumulative effects of oil and gas footprint on boreal bird abundance. Available from https://www.researchsquare.com/article/rs-1550900/v1 (accessed July 18, 2024)."""
American Redstart (Setophaga ruticilla),amered,4.1.1 Roadways,1.2 Ecosystem degradation,Positive impact (Literature),"Transects: Among 18 species classified as forest-interior nesters, winter wrens, hermit thrushes, and ovenbirds were less abundant on edge transects compared to interior transects in 1995, and American redstarts and black-and-white warblers showed the opposite pattern (Table 1). ","""Ortega YK, Capen DE. 2002. Roads as edges: effects on birds in forested landscapes. Forest Science 48:381–390. Available from https://doi.org/10.1093/forestscience/48.2.381 (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,4.1.1 Roadways,2.1 Species mortality,Negative impact (Extrapolated),Mortality stress was extrapolated to all warblers that are described as foraging low (Stephenson and Whittle. 2013. The Warbler Guide) as all warblers reported found dead on roadways were those that forage low (Bishop and Brogan 2013).,"""Bishop C, Brogan J. 2013. Estimates of avian mortality attributed to vehicle collisions in Canada. Avian Conservation and Ecology 8. Available from https://www.ace-eco.org/vol8/iss2/art2/ (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,4.2.1 Power transmission and distribution lines,2.1 Species mortality,Possible negative impact (Extrapolated),"Table 1 (very low overal numbers, so 0.5)",Bevanger K. 1998. Biological and conservation aspects of bird mortality caused by electricity power lines: a review. Biological Conservation 86:67–76.
American Redstart (Setophaga ruticilla),amered,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Table 5. The ten species of birds killed most at communication towers in each region, as calculated by weighted averages of proportions killed at each location","""Longcore T et al. 2013. Avian mortality at communication towers in the United States and Canada: which species, how many, and where? Biological Conservation 158:410–419. Available from https://www.sciencedirect.com/science/article/pii/S0006320712004144 (accessed May 16, 2024)."""
American Redstart (Setophaga ruticilla),amered,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Causes not comprehensively quantified to date, but include exposure, predation, and accidental collision deaths at TV towers and buildings (see Conservation and Management: Effects of Human Activity).","""Sherry TW, Holmes RT, Pyle P, Patten MA. 2020. American Redstart (Setophaga ruticilla), version 1.0. Birds of the WorldDOI: 10.2173/bow.amered.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/amered/cur/introduction (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,5.3.1 Logging and wood harvesting,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Overall, our results indicate that forest degradation has led to habitat declines for the majority of forest bird species with negative consequences for bird populations, particularly species associated with older forest. Forest changes include conversion from mixed-species forests to single-species conifer-dominated plantations or thinnings (Fig. 1c,d,e) and clear-cutting old forests without equivalent regrowth into old age classes (Fig. 1c,d and Extended Data Fig. 1). Notably, over the same time period, forest cover changed very little (Fig. 3a), and harvest practices in this region are considered sustainable from a wood-production standpoint30.

The habitat changes we observed were strongly associated with population size for most forest bird species in our study and appear to be driving population declines (Fig. 5 and Extended Data Fig. 8) in several species, including those associated with old forest (for example, bay-breasted warbler [Setophaga castanea], Blackburnian warbler, boreal chickadee, winter wren [Troglodytes hiemalis]).","""Betts MG, Yang Z, Hadley AS, Smith AC, Rousseau JS, Northrup JM, Nocera JJ, Gorelick N, Gerber BD. 2022. Forest degradation drives widespread avian habitat and population declines. Nature Ecology &amp; Evolution 6:709–719. Available from https://www.nature.com/articles/s41559-022-01737-8 (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,5.3.1 Logging and wood harvesting,1.2 Ecosystem degradation,Negative impact (Literature),"Overall, our results indicate that forest degradation has led to habitat declines for the majority of forest bird species with negative consequences for bird populations, particularly species associated with older forest. Forest changes include conversion from mixed-species forests to single-species conifer-dominated plantations or thinnings (Fig. 1c,d,e) and clear-cutting old forests without equivalent regrowth into old age classes (Fig. 1c,d and Extended Data Fig. 1). Notably, over the same time period, forest cover changed very little (Fig. 3a), and harvest practices in this region are considered sustainable from a wood-production standpoint30.

The habitat changes we observed were strongly associated with population size for most forest bird species in our study and appear to be driving population declines (Fig. 5 and Extended Data Fig. 8) in several species, including those associated with old forest (for example, bay-breasted warbler [Setophaga castanea], Blackburnian warbler, boreal chickadee, winter wren [Troglodytes hiemalis]).","""Betts MG, Yang Z, Hadley AS, Smith AC, Rousseau JS, Northrup JM, Nocera JJ, Gorelick N, Gerber BD. 2022. Forest degradation drives widespread avian habitat and population declines. Nature Ecology &amp; Evolution 6:709–719. Available from https://www.nature.com/articles/s41559-022-01737-8 (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,7.2.4 Changes to natural hydrologic flow,1.2 Ecosystem degradation,Possible negative impact (Literature),Threat listed under site(s) where sp. present,"""Commission for Environmental Cooperation. 1999. North American Important Bird Areas. Commission for Environmental Cooperation, Montreal, Canada. Available from http://www.cec.org/publications/north-american-important-bird-areas/."""
American Redstart (Setophaga ruticilla),amered,9.6.1 Light pollution,2.1 Species mortality,Negative impact (Extrapolated),"At a fine scale, negative consequences have been demonstrated for birds during nocturnal migratory flight. Point sources of ALAN disorient and attract birds actively engaged in migration27,31–34 to the extent that birds can be “trapped” by bright sources of ALAN when migrating over urban areas. High-intensity urban light installations can dramatically alter multiple behaviors of nocturnally migrating birds even to distances of several kilometers from the source35. Migrants will slow down their flight speed, start circling the light source, and call more frequently near the lights. It is well known that bird mortality due to collisions with buildings is related to light emissions from the buildings","""Cabrera-Cruz SA, Smolinsky JA, Buler JJ. 2018. Light pollution is greatest within migration passage areas for nocturnally-migrating birds around the world. Scientific Reports (Nature Publisher Group) 8:1–8. Available from https://www.proquest.com/docview/2004127038/abstract/3A5554D8374140E2PQ/1 (accessed May 16, 2024)."""
American Redstart (Setophaga ruticilla),amered,9.6.1 Light pollution,2.1 Species mortality,Possible negative impact (Extrapolated),"The families with the most species used for analysis were Parulidae (Wood warblers, 41 spp.), Anatidae (Waterfowl, 32 spp.), and Scolopacidae (Shorebirds, 32 spp.). ","""Cabrera-Cruz SA, Smolinsky JA, Buler JJ. 2018. Light pollution is greatest within migration passage areas for nocturnally-migrating birds around the world. Scientific Reports (Nature Publisher Group) 8:1–8. Available from https://www.proquest.com/docview/2004127038/abstract/3A5554D8374140E2PQ/1 (accessed May 16, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,1 Residential & Commercial Development,1.1 Ecosystem conversion,Negative impact (Literature),"Winter habitat degradation and loss is also a threat, as commercial and residential development activity continues to deplete the forest canopy in Central America and northern South America (Erskine 1992, Petit et al. 1993, Norton 2001). ","""Mayasich JM, Niemi GJ. 2003. Conservation assessment for Bay-breasted Warbler (Dendroica castanea). University of Minnesota Duluth. Available from http://hdl.handle.net/11299/187280 (accessed May 16, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,1.1 Housing & Urban Areas,1.1 Ecosystem conversion,No negative impact (Literature),"On Jamaica, Dominica, and St. Vincent, some sightings of this species are in gardens and parks of urban areas (Arendt 1992).","""Venier L, Holmes S, Williams JM. 2020. Bay-breasted Warbler (Setophaga castanea), version 1.0. Birds of the WorldDOI: 10.2173/bow.babwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/babwar/cur/introduction (accessed May 15, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Extrapolated),"Considering the family level ofbirds in the CCA, we noted that members of the Parulidae were more strongly associated with higher GreenLevels (high tree canopy and exposed habitats; Fig.5).","""Cusa M, Jackson DA, Mesure M. 2015. Window collisions by migratory bird species: Urban geographical patterns and habitat associations. Urban Ecosystems 18:1427–1446. Available from https://doi.org/10.1007/s11252-015-0459-3 (accessed May 15, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Literature),"Bay-breasted Warbler (BBWA), Mourning Dove (MODO), Philadelphia Vireo (PHVI), and Eastern Phoebe (EAPH) occurred at the extremes of the graph and occurred relatively rarely in the dataset (?10 individuals).","""Cusa M, Jackson DA, Mesure M. 2015. Window collisions by migratory bird species: Urban geographical patterns and habitat associations. Urban Ecosystems 18:1427–1446. Available from https://doi.org/10.1007/s11252-015-0459-3 (accessed May 15, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Flycatchers, tanagers, vireos, warblers, thrushes, and bluebirds respond negatively to urbanization in ponderosa pine forests.","""Chace JF, Walsh JJ. 2006. Urban effects on native avifauna: a review. Landscape and Urban Planning 74:46–69. Available from https://www.sciencedirect.com/science/article/pii/S016920460400146X (accessed May 15, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Table 1, list of sensitive species","""Glennon MJ, Kretser HE. 2013. Size of the ecological effect zone associated with exurban development in the Adirondack Park, NY. Landscape and Urban Planning 112:10–17."""
Bay-breasted Warbler (Setophaga castanea),babwar,2.1.1 Agriculture pesticide/herbicide application,1.3 Indirect ecosystem effects,Negative impact (Literature),Spraying insecticides to control spruce budworm can have direct toxic affect (inhibition of brain acetylcholinesterase activity) on this warbler (Busby et al. 1991) in addition to the indirect affect of reducing a key food item. ,"""Mayasich JM, Niemi GJ. 2003. Conservation assessment for Bay-breasted Warbler (Dendroica castanea). University of Minnesota Duluth. Available from http://hdl.handle.net/11299/187280 (accessed May 16, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,2.1.1 Agriculture pesticide/herbicide application,1.3 Indirect ecosystem effects,Negative impact (Literature),"Bay-breasted Warbler numbers have been reported to dramatically increase and decrease in synchrony with outbreaks and declines of the spruce budworm (Choristoneura fumiferana), a key food item. ","""Mayasich JM, Niemi GJ. 2003. Conservation assessment for Bay-breasted Warbler (Dendroica castanea). University of Minnesota Duluth. Available from http://hdl.handle.net/11299/187280 (accessed May 16, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Extrapolated),"Today, the expansion of agriculture continues to be the major driver of biodiversity loss. Agriculture affects every type of habitat and impacts 76% of the landbird species of highest conservation concern; 65% are threatened by unsustainable livestock grazing. Preventing the conversion of large areas of habitat, whether grassland, forest, or aridlands, in the core distribution of species of concern will be necessary to stem the rapid decline of many landbirds","""Berlanga H, Kennedy J, Rich T. 2010. Saving our shared birds: Partners in Flight Tri-national vision for landbird conservation. United States Fish and Wildlife: Staff Publications. Available from https://digitalcommons.unl.edu/usfwspubs/376."""
Bay-breasted Warbler (Setophaga castanea),babwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,No negative impact (Extrapolated),"The most abundant families were: Trochilidae, Tyrannidae with 12 species respecting, Parulidae 11, and Icteridae with nine species.","""Anonymous. 2018. Avifauna study for the Acajutla-Ahuachapán row of “LNG to Power” project transmission line, Energía del Pacífico, El Salvador. Page 33. Available from https://www3.dfc.gov/Environment/EIA/energia/Transmission_ESIA/Avifauna_Study.pdf."""
Bay-breasted Warbler (Setophaga castanea),babwar,2.3.2 Pasture development,1.1 Ecosystem conversion,Negative impact (Literature),"Listed in Table 2 ""Projected vulnerability of neotropical migratory landbirds to anthtropogenic alteration of tropical broadleaved forests.""
","""Petit DR, Lynch JF, Hutto RL, Blake JG, Waide RB. 1993. Management and conservation of migratory landbirds overwintering in the Neotropics. Status and management of Neotropical migratory birds; 1992 September 21-25; Estes Park, CO. Gen. Tech. Rep. RM-229. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station. 422 p. Pages 70–92."""
Bay-breasted Warbler (Setophaga castanea),babwar,3.1.1 Onshore oil and gas development,1.1 Ecosystem conversion,Negative impact (Literature),The development of areas for the production of oil and gas can reduce the availability of suitable habitat (Norton 2001). ,"""Mayasich JM, Niemi GJ. 2003. Conservation assessment for Bay-breasted Warbler (Dendroica castanea). University of Minnesota Duluth. Available from http://hdl.handle.net/11299/187280 (accessed May 16, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,3.1.1 Onshore oil and gas development,1.2 Ecosystem degradation,Negative impact (Literature),Table 2 or Table 3 negative impact from seismic,"""Leston L et al. 2022, April 18. Comparing alternative methods of modelling cumulative effects of oil and gas footprint on boreal bird abundance. Available from https://www.researchsquare.com/article/rs-1550900/v1 (accessed July 18, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,3.1.2 Onshore oil and gas production,1.2 Ecosystem degradation,Negative impact (Literature),"Table 2 or Table 3 negative impact from pipeline, well, road, or facility","""Leston L et al. 2022, April 18. Comparing alternative methods of modelling cumulative effects of oil and gas footprint on boreal bird abundance. Available from https://www.researchsquare.com/article/rs-1550900/v1 (accessed July 18, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,3.3.1 Onshore wind turbine installations,2.1 Species mortality,Negative impact (Literature),Appendix S1,"""Choi DY, Wittig TW, Kluever BM. 2020. An evaluation of bird and bat mortality at wind turbines in the Northeastern United States. PLOS ONE 15:e0238034. Available from https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0238034 (accessed May 15, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,4.1.1 Roadways,1.2 Ecosystem degradation,Negative impact (Literature),Table 2 or Table 3 negative impact from road,"""Leston L et al. 2022, April 18. Comparing alternative methods of modelling cumulative effects of oil and gas footprint on boreal bird abundance. Available from https://www.researchsquare.com/article/rs-1550900/v1 (accessed July 18, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,4.2.1 Power transmission and distribution lines,2.1 Species mortality,Possible negative impact (Extrapolated),"Table 1 (very low overal numbers, so 0.5)",Bevanger K. 1998. Biological and conservation aspects of bird mortality caused by electricity power lines: a review. Biological Conservation 86:67–76.
Bay-breasted Warbler (Setophaga castanea),babwar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Table 3. Per species avian annual mortality at communication towers in central and eastern North America, for species with >1% annual mortality from communication towers.","""Longcore T et al. 2013. Avian mortality at communication towers in the United States and Canada: which species, how many, and where? Biological Conservation 158:410–419. Available from https://www.sciencedirect.com/science/article/pii/S0006320712004144 (accessed May 16, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Table 5. The ten species of birds killed most at communication towers in each region, as calculated by weighted averages of proportions killed at each location","""Longcore T et al. 2013. Avian mortality at communication towers in the United States and Canada: which species, how many, and where? Biological Conservation 158:410–419. Available from https://www.sciencedirect.com/science/article/pii/S0006320712004144 (accessed May 16, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Collisions with tall, stationary objects such as broadcasting and communication towers have resulted in mortality (Seets and Bohlen 1977, Crawford 1978). ","""Mayasich JM, Niemi GJ. 2003. Conservation assessment for Bay-breasted Warbler (Dendroica castanea). University of Minnesota Duluth. Available from http://hdl.handle.net/11299/187280 (accessed May 16, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Total of 274 Bay-breasted Warblers killed at 7 different TV towers in central Illinois on 3 nights in Sep 1972, of which 237 occurred on 27 Sep (Seets and Bohlen 1977). Tower kills in Wisconsin show this species to be one of the most common fall migrant warblers there (Robbins 1991).","""Venier L, Holmes S, Williams JM. 2020. Bay-breasted Warbler (Setophaga castanea), version 1.0. Birds of the WorldDOI: 10.2173/bow.babwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/babwar/cur/introduction (accessed May 15, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,5.3.1 Logging and wood harvesting,1.1 Ecosystem conversion,Negative impact (Literature),"In Alberta Canada, the species is on the “Blue List” indicating it is at risk.  This designation is primarily due to concerns that population declines may be associated with the loss of old-growth habitats. ","""Mayasich JM, Niemi GJ. 2003. Conservation assessment for Bay-breasted Warbler (Dendroica castanea). University of Minnesota Duluth. Available from http://hdl.handle.net/11299/187280 (accessed May 16, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,5.3.1 Logging and wood harvesting,1.1 Ecosystem conversion,Negative impact (Literature),The greatest threat to the breeding range of the Bay-breasted Warbler is the reduction in the area of old-growth spruce (Picea spp.) and fir (Abies spp.) of the boreal forest.  Both nesting habitat and food supply (spruce budworm) are at risk when reductions or alterations of these forest areas occurs (Niemi et al. 1998). ,"""Mayasich JM, Niemi GJ. 2003. Conservation assessment for Bay-breasted Warbler (Dendroica castanea). University of Minnesota Duluth. Available from http://hdl.handle.net/11299/187280 (accessed May 16, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,5.3.1 Logging and wood harvesting,1.2 Ecosystem degradation,Negative impact (Literature),"Overall, our results indicate that forest degradation has led to habitat declines for the majority of forest bird species with negative consequences for bird populations, particularly species associated with older forest. Forest changes include conversion from mixed-species forests to single-species conifer-dominated plantations or thinnings (Fig. 1c,d,e) and clear-cutting old forests without equivalent regrowth into old age classes (Fig. 1c,d and Extended Data Fig. 1). Notably, over the same time period, forest cover changed very little (Fig. 3a), and harvest practices in this region are considered sustainable from a wood-production standpoint30.

The habitat changes we observed were strongly associated with population size for most forest bird species in our study and appear to be driving population declines (Fig. 5 and Extended Data Fig. 8) in several species, including those associated with old forest (for example, bay-breasted warbler [Setophaga castanea], Blackburnian warbler, boreal chickadee, winter wren [Troglodytes hiemalis]).","""Betts MG, Yang Z, Hadley AS, Smith AC, Rousseau JS, Northrup JM, Nocera JJ, Gorelick N, Gerber BD. 2022. Forest degradation drives widespread avian habitat and population declines. Nature Ecology &amp; Evolution 6:709–719. Available from https://www.nature.com/articles/s41559-022-01737-8 (accessed May 15, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,5.3.1 Logging and wood harvesting,1.2 Ecosystem degradation,Negative impact (Literature),"In e. Canada, shorter forest-cutting cycles, which reduce the area of mature forests, and planting of black spruce and jack pine (Pinus banksiana), which are more resistant to spruce budworm, will both contribute to creating less attractive breeding habitat for this warbler (Erskine 1992a).","""Venier L, Holmes S, Williams JM. 2020. Bay-breasted Warbler (Setophaga castanea), version 1.0. Birds of the WorldDOI: 10.2173/bow.babwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/babwar/cur/introduction (accessed May 15, 2024)."""
Bay-breasted Warbler (Setophaga castanea),babwar,7.3.1 Inadequate forest management,1.2 Ecosystem degradation,Negative impact (Literature),"Neotropical migrants associated with “overmature” mixed-wood stands included Cape May Dendroica tigrina, bay-breasted D. castanea and Tennessee Vermivora peregrina warblers. Conversely, orange-crowned V. celata, palm D. palmarum, and Nashville V. ruficapilla warblers were found in young stands. 

The presence of several Neotropical migrants was associated with mixed-wood attributes (ovenbird Seiurus aurocapillus with aspen, red-eyed vireo Vireo olivaceus with shrub alder, and Swainson’s thrush Catharus ustulatus with canopy white birch). 

Jack pine stands older than commercial rotation age must be maintained in a managed landscape because their bird communities differ from younger stands. Because of the limited avian diversity in pure jack pine stands, sufficient mixed-wood stands must be regenerated to sustain populations of characteristic bird species. We recommend that jack pine mixed-woods be managed using shelterwood or selective cuts, and that rotation age of some stands be increased. Without the extensive fires necessary for regeneration, cutting patterns at the landscape level should approximate natural disturbance patches both in size and frequency of disturbance.","""Kirk DA, Hobson KA. 2001. Bird–habitat relationships in jack pine boreal forests. Forest Ecology and Management 147:217–243."""
Bay-breasted Warbler (Setophaga castanea),babwar,7.3.1 Inadequate forest management,1.2 Ecosystem degradation,Negative impact (Literature),"Shorter forest-harvesting cycles and planting species that are more resistant to spruce budworm, such as jack pine (Pinus banksiana), are practices that will create habitats that are less attractive to this warbler (Erskine 1992). ","""Mayasich JM, Niemi GJ. 2003. Conservation assessment for Bay-breasted Warbler (Dendroica castanea). University of Minnesota Duluth. Available from http://hdl.handle.net/11299/187280 (accessed May 16, 2024)."""
